id,grammarType,group,sentence,optionA,optionB,optionC,optionD,correct,infinitive,preteritum,meaning,translation,synonym,antonym
614,Đồng nghĩa,,"Der Teppich wurde im ganzen Raum ""ausgelegt"". — Từ nào đồng nghĩa với từ trong ngoặc kép?",ausführen,aufstellen,ablehnen,interpretieren,interpretieren,auslegen,legte aus,trải ra; giải thích,Tấm thảm đã được trải khắp căn phòng.,,
615,Đồng nghĩa,,"Der Arzt hat mir ein Medikament ""verschrieben"". — Từ nào đồng nghĩa với từ trong ngoặc kép?",weglassen,vorlesen,verordnen,amüsieren,verordnen,verschreiben,verschrieb,kê đơn (thuốc),Bác sĩ đã kê đơn thuốc cho tôi.,,
616,Đồng nghĩa,,"Der Unterricht ist heute wegen Krankheit ""ausgefallen"". — Từ nào đồng nghĩa với từ trong ngoặc kép?",anziehen (mũ),zusperren,durchführen,entfallen,entfallen,ausfallen,fiel aus,bị hủy; rụng,Hôm nay buổi học đã bị hủy vì lý do ốm đau.,,
617,Đồng nghĩa,,"Er hat sie zu einer schlechten Entscheidung ""verführt"". — Từ nào đồng nghĩa với từ trong ngoặc kép?",nachfragen,überprüfen,starten,verlocken,verlocken,verführen,verführte,"quyến rũ, lôi kéo",Anh ấy đã dụ dỗ cô ấy đưa ra một quyết định sai lầm.,,
618,Đồng nghĩa,,"Wir haben die Idee erfolgreich ""umgesetzt"". — Từ nào đồng nghĩa với từ trong ngoặc kép?",weggehen von,investieren,studieren,realisieren,realisieren,umsetzen,setzte um,thực hiện; chuyển đổi,Chúng tôi đã thực hiện ý tưởng đó thành công.,,
619,Đồng nghĩa,,"Der Zug ist pünktlich in den Bahnhof ""eingefahren"". — Từ nào đồng nghĩa với từ trong ngoặc kép?",hineinfahren,losfahren,(eine Prüfung) schaffen,starten,hineinfahren,einfahren,fuhr ein,tiến vào (ga),Tàu đã vào ga đúng giờ.,,
620,Đồng nghĩa,,"Er hat das Fenster ""aufgemacht"". — Từ nào đồng nghĩa với từ trong ngoặc kép?",sich verirren,öffnen,hinstellen,darlegen,öffnen,aufmachen,machte auf,mở ra,Anh ấy đã mở cửa sổ.,,
621,Đồng nghĩa,,"Der Hund wurde vor dem Laden ""angebunden"". — Từ nào đồng nghĩa với từ trong ngoặc kép?",ausschalten,festbinden,zusammenstoßen,imitieren,festbinden,anbinden,band an,buộc vào,Con chó đã được buộc trước cửa hàng.,,
622,Đồng nghĩa,,"Er ist bei einer großen Firma ""angestellt"". — Từ nào đồng nghĩa với từ trong ngoặc kép?",einrücken,einstellen,"akzeptieren, vermuten",absichern,einstellen,anstellen,stellte an,thuê nhân viên; bật máy,Anh ấy được tuyển dụng ở một công ty lớn.,,
623,Đồng nghĩa,,"Ich habe dich gestern Abend ""angerufen"". — Từ nào đồng nghĩa với từ trong ngoặc kép?",erwähnen,austeilen,darstellen,telefonieren,telefonieren,anrufen,rief an,gọi điện,Tối qua tôi đã gọi điện cho bạn.,,
624,Đồng nghĩa,,"Er hat bei der Anmeldung falsche Daten ""angegeben"". — Từ nào đồng nghĩa với từ trong ngoặc kép?",erwähnen,beginnen,senden,mitkommen,erwähnen,angeben,gab an,khai báo; khoe khoang,Anh ấy đã khai sai thông tin khi đăng ký.,,
625,Đồng nghĩa,,"Die Kinder haben dem Spiel begeistert ""zugeschaut"". — Từ nào đồng nghĩa với từ trong ngoặc kép?",weggehen von,bedrängen,fortsetzen,beobachten,beobachten,zuschauen,schaute zu,"xem, quan sát",Bọn trẻ đã hào hứng theo dõi trận đấu.,,
626,Đồng nghĩa,,"Der Fotograf hat den Moment ""festgehalten"". — Từ nào đồng nghĩa với từ trong ngoặc kép?",ausschalten,studieren,greifen,aufsuchen,greifen,festhalten,hielt fest,giữ chặt; ghi lại,Nhiếp ảnh gia đã ghi lại khoảnh khắc đó.,,
627,Đồng nghĩa,,"Wir haben das Treffen um eine Woche ""zurückgestellt"". — Từ nào đồng nghĩa với từ trong ngoặc kép?",entkommen,verschieben,ignorieren,lösen,verschieben,zurückstellen,stellte zurück,hoãn lại; đặt lại chỗ cũ,Chúng tôi đã hoãn buổi gặp mặt lại một tuần.,,
628,Đồng nghĩa,,"Mein Reisepass ist leider schon ""abgelaufen"". — Từ nào đồng nghĩa với từ trong ngoặc kép?",mitmachen,verfallen,schrumpfen,einstellen,verfallen,ablaufen,lief ab,hết hạn; diễn ra,Tiếc là hộ chiếu của tôi đã hết hạn.,,
629,Đồng nghĩa,,"Er hat seine Meinung am Ende ""durchgesetzt"". — Từ nào đồng nghĩa với từ trong ngoặc kép?",stoppen,erzwingen,begleiten,fliehen,erzwingen,durchsetzen,setzte durch,thực thi; đạt được,Cuối cùng anh ấy đã bảo vệ được quan điểm của mình.,,
630,Đồng nghĩa,,"Mein neuer Pullover ist beim Waschen ""eingelaufen"". — Từ nào đồng nghĩa với từ trong ngoặc kép?",schrumpfen,entfallen,sich verirren,heimsuchen,schrumpfen,einlaufen,lief ein,co lại (vải); vào bến,Chiếc áo len mới của tôi đã bị co lại khi giặt.,,
631,Đồng nghĩa,,"Der Lehrer hat den Fehler leider ""übersehen"". — Từ nào đồng nghĩa với từ trong ngoặc kép?",Schlange stehen,sich benehmen,entfallen,nicht bemerken,nicht bemerken,übersehen,übersah,bỏ sót,Tiếc là thầy giáo đã bỏ sót lỗi đó.,,
632,Đồng nghĩa,,"Die Klasse wurde in vier Gruppen ""eingeteilt"". — Từ nào đồng nghĩa với từ trong ngoặc kép?",begleiten,zusammenstoßen,kaputtgehen,gliedern,gliedern,einteilen,teilte ein,chia thành phần; sắp xếp,Lớp học đã được chia thành bốn nhóm.,,
633,Đồng nghĩa,,"Der Hund wurde endlich ""losgelassen"". — Từ nào đồng nghĩa với từ trong ngoặc kép?",freilassen,verknüpfen,festbinden,entscheiden,freilassen,loslassen,ließ los,buông ra,Cuối cùng con chó đã được thả ra.,,
634,Đồng nghĩa,,"Der Diebstahl wurde der Polizei ""angezeigt"". — Từ nào đồng nghĩa với từ trong ngoặc kép?",großziehen,behandeln,melden,verwirklichen,melden,anzeigen,zeigte an,báo cáo (công an); hiển thị,Vụ trộm cắp đã được báo cho cảnh sát.,,
635,Đồng nghĩa,,"Im Zoo ist ein Löwe ""ausgebrochen"". — Từ nào đồng nghĩa với từ trong ngoặc kép?",warten auf,entkommen,losfahren,ausführen,entkommen,ausbrechen,brach aus,bùng nổ; thoát khỏi,Một con sư tử đã sổng chuồng ở sở thú.,,
636,Đồng nghĩa,,"Er hat bei der Party ziemlich ""aufgeschnitten"". — Từ nào đồng nghĩa với từ trong ngoặc kép?",begleiten,verzichten,studieren,öffnen,öffnen,aufschneiden,schnitt auf,cắt mở; (khẩu ngữ) nói khoác,Anh ấy đã khá khoác lác tại bữa tiệc.,,
637,Đồng nghĩa,,"Ich habe den Vertrag genau ""durchgelesen"". — Từ nào đồng nghĩa với từ trong ngoặc kép?",studieren,belasten,ablaufen,betrachten,studieren,durchlesen,las durch,"đọc kỹ, đọc hết",Tôi đã đọc kỹ toàn bộ hợp đồng.,,
638,Đồng nghĩa,,"Das Zimmer ist mit allem Nötigen ""versehen"". — Từ nào đồng nghĩa với từ trong ngoặc kép?",verzichten,aufgeben,eintragen,ausstatten,ausstatten,versehen,versah,trang bị; đảm nhận,Căn phòng được trang bị đầy đủ những thứ cần thiết.,,
639,Đồng nghĩa,,"Er hat sich seinen größten Traum ""erfüllt"". — Từ nào đồng nghĩa với từ trong ngoặc kép?",beobachten,betreffen,präsentieren,verwirklichen,verwirklichen,erfüllen,erfüllte,"hoàn thành, đáp ứng",Anh ấy đã thực hiện được giấc mơ lớn nhất của mình.,,
640,Đồng nghĩa,,"Meine Eltern sind über Ostern ""verreist"". — Từ nào đồng nghĩa với từ trong ngoặc kép?",einbeulen,verknüpfen,wegfahren,äußern,wegfahren,verreisen,verreiste,đi du lịch xa,Bố mẹ tôi đã đi du lịch xa vào dịp lễ Phục sinh.,,
641,Đồng nghĩa,,"Der Teller ist beim Spülen ""zerschlagen"". — Từ nào đồng nghĩa với từ trong ngoặc kép?",hineingießen,zertrümmern,aufgeben,umwandeln,zertrümmern,zerschlagen,zerschlug,đập tan,Chiếc đĩa đã vỡ tan khi rửa.,,
642,Đồng nghĩa,,"Sie hat ihren Plan schließlich ""aufgegeben"". — Từ nào đồng nghĩa với từ trong ngoặc kép?",verzichten,betreten,enthalten,ablehnen,verzichten,aufgeben,gab auf,từ bỏ; gửi thư,Cuối cùng cô ấy đã từ bỏ kế hoạch của mình.,,
643,Đồng nghĩa,,"Er ist sehr freundlich mit den Kunden ""umgegangen"". — Từ nào đồng nghĩa với từ trong ngoặc kép?",behandeln,ausführen,überprüfen,entwickeln,behandeln,umgehen,ging um,đối xử (với ai đó),Anh ấy đã đối xử rất thân thiện với khách hàng.,,
644,Đồng nghĩa,,"Wir haben bei dem Spiel alle ""mitgemacht"". — Từ nào đồng nghĩa với từ trong ngoặc kép?",kaputtgehen,teilnehmen,mitwirken,"verhören, hören",teilnehmen,mitmachen,machte mit,tham gia,Tất cả chúng tôi đều đã tham gia trò chơi đó.,,
645,Đồng nghĩa,,"Wir sind gestern Abend ""ausgegangen"", um zu feiern. — Từ nào đồng nghĩa với từ trong ngoặc kép?",hineingießen,sich erkundigen,nicht bemerken,enden,enden,ausgehen,ging aus,đi chơi; kết thúc ra sao,Tối qua chúng tôi đã đi chơi để ăn mừng.,,
646,Đồng nghĩa,,"Das alte Haus wurde völlig ""umgebaut"". — Từ nào đồng nghĩa với từ trong ngoặc kép?",renovieren,öffnen,überprüfen,wirken,renovieren,umbauen,baute um,cải tạo,Ngôi nhà cũ đã được cải tạo hoàn toàn.,,
647,Đồng nghĩa,,"Meine Schwester ist zum Konzert ""mitgekommen"". — Từ nào đồng nghĩa với từ trong ngoặc kép?",verzerren,demontieren,hindern,begleiten,begleiten,mitkommen,kam mit,đi cùng,Em gái tôi đã đi cùng đến buổi hòa nhạc.,,
648,Đồng nghĩa,,"Er hat dem Chef den Bericht ""vorgelegt"". — Từ nào đồng nghĩa với từ trong ngoặc kép?",warten auf,präsentieren,öffnen,erwachen,präsentieren,vorlegen,legte vor,trình bày; đưa ra,Anh ấy đã trình báo cáo cho sếp.,,
649,Đồng nghĩa,,"Ich habe ein neues Restaurant ""vorgeschlagen"". — Từ nào đồng nghĩa với từ trong ngoặc kép?",enthalten,verzerren,empfehlen,kaputtgehen,empfehlen,vorschlagen,schlug vor,đề xuất,Tôi đã đề xuất một nhà hàng mới.,,
650,Đồng nghĩa,,"Er hat den Vorsprung wieder ""eingeholt"". — Từ nào đồng nghĩa với từ trong ngoặc kép?",einsetzen,telefonieren,leiten,nachholen,nachholen,einholen,holte ein,bắt kịp; xin (phép),Anh ấy đã bắt kịp lại khoảng cách dẫn trước.,,
651,Đồng nghĩa,,"Die Mutter hat das Kind im Bett ""zugedeckt"". — Từ nào đồng nghĩa với từ trong ngoặc kép?",exhalieren,verwirklichen,verhüllen,fallen lassen,verhüllen,zudecken,deckte zu,đắp (chăn),Người mẹ đã đắp chăn cho đứa trẻ trên giường.,,
652,Đồng nghĩa,,"Sie hat sofort ""aufgelegt"", als das Gespräch unangenehm wurde. — Từ nào đồng nghĩa với từ trong ngoặc kép?",mitkommen,(Telefonat) beenden,einlenken,äußern,(Telefonat) beenden,auflegen,legte auf,đặt lên; gác máy,Cô ấy đã gác máy ngay khi cuộc trò chuyện trở nên khó chịu.,,
653,Đồng nghĩa,,"Der Autor hat die Landschaft sehr genau ""beschrieben"". — Từ nào đồng nghĩa với từ trong ngoặc kép?",einlenken,darstellen,sich bilden,hinaufklettern,darstellen,beschreiben,beschrieb,miêu tả,Tác giả đã miêu tả phong cảnh rất chi tiết.,,
654,Đồng nghĩa,,"Sie hat ihre Gefühle klar ""ausgedrückt"". — Từ nào đồng nghĩa với từ trong ngoặc kép?",äußern,zusperren,hinaufklettern,teilnehmen,äußern,ausdrücken,drückte aus,"diễn đạt, bày tỏ",Cô ấy đã bày tỏ cảm xúc của mình một cách rõ ràng.,,
655,Đồng nghĩa,,"Alle Mitarbeiter haben sich im Konferenzraum ""versammelt"". — Từ nào đồng nghĩa với từ trong ngoặc kép?",verzerren,zusammenkommen,lauschen,darlegen,zusammenkommen,versammeln,versammelte,tập hợp lại,Tất cả nhân viên đã tập trung tại phòng họp.,,
656,Đồng nghĩa,,"Wir haben ihn schon lange ""erwartet"". — Từ nào đồng nghĩa với từ trong ngoặc kép?",hoffen auf,retournieren,entsorgen,neu formulieren,hoffen auf,erwarten,erwartete,mong đợi,Chúng tôi đã mong đợi anh ấy từ lâu.,,
657,Đồng nghĩa,,"Wir haben den Vertrag gestern ""unterschrieben"". — Từ nào đồng nghĩa với từ trong ngoặc kép?",empfehlen,entkleiden,signieren,anstellen,signieren,unterschreiben,unterschrieb,ký tên,Hôm qua chúng tôi đã ký hợp đồng.,,
658,Đồng nghĩa,,"Er hat das Licht im Flur ""angemacht"". — Từ nào đồng nghĩa với từ trong ngoặc kép?",aufbewahren,einschalten,behandeln,kontrollieren,einschalten,anmachen,machte an,bật (đèn); (khẩu ngữ) tán tỉnh,Anh ấy đã bật đèn ở hành lang.,,
659,Đồng nghĩa,,"Der Agent hat das Telefonat heimlich ""abgehört"". — Từ nào đồng nghĩa với từ trong ngoặc kép?",zertrümmern,übersiedeln,riskieren,belauschen,belauschen,abhören,hörte ab,nghe lén; kiểm tra bài,Điệp viên đã bí mật nghe lén cuộc gọi điện thoại.,,
660,Đồng nghĩa,,"Das Finale wurde im großen Stadion ""ausgetragen"". — Từ nào đồng nghĩa với từ trong ngoặc kép?",neu formulieren,austeilen,verteilen,öffnen,verteilen,austragen,trug aus,"giao (báo, hàng); tổ chức (giải đấu)",Trận chung kết đã được tổ chức tại sân vận động lớn.,,
661,Đồng nghĩa,,"Er hat sich in der Stadt sehr gut ""ausgekannt"". — Từ nào đồng nghĩa với từ trong ngoặc kép?",Bescheid wissen,entfallen,wenden,nicht bemerken,Bescheid wissen,auskennen,kannte aus,"rành, thông thạo về",Anh ấy rất rành thành phố này.,,
662,Đồng nghĩa,,"Der Kollege hat mich während des Urlaubs ""vertreten"". — Từ nào đồng nghĩa với từ trong ngoặc kép?",anreden,repräsentieren,integrieren,versäumen,repräsentieren,vertreten,vertrat,đại diện cho; thay thế,Đồng nghiệp đã thay thế tôi trong thời gian nghỉ phép.,,
663,Đồng nghĩa,,"Er hat seine Schuhe vor der Tür ""ausgezogen"". — Từ nào đồng nghĩa với từ trong ngoặc kép?",klingen,entkleiden,erlauben,verhindern,entkleiden,ausziehen,zog aus,cởi đồ; chuyển ra khỏi nhà,Anh ấy đã cởi giày trước cửa.,,
664,Đồng nghĩa,,"Er hat tief die frische Luft ""eingeatmet"". — Từ nào đồng nghĩa với từ trong ngoặc kép?",inhalieren,aufsuchen,bedrängen,erscheinen,inhalieren,einatmen,atmete ein,hít vào,Anh ấy đã hít thở sâu bầu không khí trong lành.,,
665,Đồng nghĩa,,"Ein Fehler kann nie ganz ""ausgeschlossen"" werden. — Từ nào đồng nghĩa với từ trong ngoặc kép?",eliminieren,errichten,einsetzen,wechseln,eliminieren,ausschließen,schloss aus,loại trừ,Sai sót không bao giờ có thể bị loại trừ hoàn toàn.,,
666,Đồng nghĩa,,"Der Experte hat die Risiken deutlich ""aufgezeigt"". — Từ nào đồng nghĩa với từ trong ngoặc kép?",entwickeln,aufbewahren,notieren,darlegen,darlegen,aufzeigen,zeigte auf,"chỉ ra, nêu rõ",Chuyên gia đã chỉ rõ những rủi ro.,,
667,Đồng nghĩa,,"Das Pferd hat plötzlich ""ausgeschlagen"". — Từ nào đồng nghĩa với từ trong ngoặc kép?",schrumpfen,aufdrehen,aufwachen,ablehnen,ablehnen,ausschlagen,schlug aus,từ chối; đá (ngựa),Con ngựa bỗng nhiên đá hậu.,,
668,Đồng nghĩa,,"Der Zeuge ist von der Polizei ""vernommen"" worden. — Từ nào đồng nghĩa với từ trong ngoặc kép?",eintragen,bezahlen,"verhören, hören",Bescheid wissen,"verhören, hören",vernehmen,vernahm,thẩm vấn; nghe thấy,Nhân chứng đã bị cảnh sát thẩm vấn.,,
669,Đồng nghĩa,,"Die Vase ist beim Umzug ""zerbrochen"". — Từ nào đồng nghĩa với từ trong ngoặc kép?",kaputtgehen,fallen lassen,gliedern,hineingehen,kaputtgehen,zerbrechen,zerbrach,vỡ tan,Chiếc bình đã bị vỡ khi chuyển nhà.,,
670,Đồng nghĩa,,"Die Katze ist vor Angst ""weggelaufen"". — Từ nào đồng nghĩa với từ trong ngoặc kép?",fliehen,großziehen,beschützen,abreisen,fliehen,weglaufen,lief weg,chạy trốn,Con mèo đã chạy trốn vì sợ hãi.,,
671,Đồng nghĩa,,"Alle Mitarbeiter wurden in das Projekt ""eingebunden"". — Từ nào đồng nghĩa với từ trong ngoặc kép?",gestehen,einstecken,überlegen,integrieren,integrieren,einbinden,band ein,tích hợp vào,Tất cả nhân viên đã được đưa vào dự án.,,
672,Đồng nghĩa,,"Die neue Methode wurde erfolgreich ""angewendet"". — Từ nào đồng nghĩa với từ trong ngoặc kép?",interpretieren,diskutieren,eliminieren,einsetzen,einsetzen,anwenden,wendete an,áp dụng,Phương pháp mới đã được áp dụng thành công.,,
673,Đồng nghĩa,,"Der Sieger wurde offiziell ""ausgerufen"". — Từ nào đồng nghĩa với từ trong ngoặc kép?",verkünden,kündigen,schlucken,ausschalten,verkünden,ausrufen,rief aus,"hô to, tuyên bố",Người chiến thắng đã được công bố chính thức.,,
674,Đồng nghĩa,,"Ich habe das Buch endlich ""ausgelesen"". — Từ nào đồng nghĩa với từ trong ngoặc kép?",verändern,fertiglesen,veräußern,(Telefonat) beenden,fertiglesen,auslesen,las aus,đọc xong; chọn lọc,Cuối cùng tôi đã đọc xong quyển sách.,,
675,Đồng nghĩa,,"Er hat das Problem mutig ""angepackt"". — Từ nào đồng nghĩa với từ trong ngoặc kép?",betreten,eindringen,angehen,sich aufhalten,angehen,anpacken,packte an,bắt tay vào việc; nắm lấy,Anh ấy đã can đảm bắt tay giải quyết vấn đề.,,
676,Đồng nghĩa,,"Er hat leider seinen Zug ""verpasst"". — Từ nào đồng nghĩa với từ trong ngoặc kép?","akzeptieren, vermuten",versäumen,zurücknehmen,wirken,versäumen,verpassen,verpasste,bỏ lỡ,Tiếc là anh ấy đã lỡ chuyến tàu.,,
677,Đồng nghĩa,,"Der Plan wurde am Ende komplett ""verworfen"". — Từ nào đồng nghĩa với từ trong ngoặc kép?",eintreffen,entscheiden,ablehnen,erneut überlegen,ablehnen,verwerfen,verwarf,bác bỏ,Kế hoạch cuối cùng đã bị bác bỏ hoàn toàn.,,
678,Đồng nghĩa,,"Das Kind hat die Stimme des Lehrers ""nachgemacht"". — Từ nào đồng nghĩa với từ trong ngoặc kép?",erzählen,demontieren,imitieren,vereinbaren,imitieren,nachmachen,machte nach,bắt chước,Đứa trẻ đã bắt chước giọng của thầy giáo.,,
679,Đồng nghĩa,,"Der Patient hat die Tabletten pünktlich ""eingenommen"". — Từ nào đồng nghĩa với từ trong ngoặc kép?",darlegen,beginnen,ablehnen,schlucken,schlucken,einnehmen,nahm ein,uống thuốc; chiếm,Bệnh nhân đã uống thuốc đúng giờ.,,
680,Đồng nghĩa,,"Ich habe das Passwort falsch ""eingegeben"". — Từ nào đồng nghĩa với từ trong ngoặc kép?",bemerkbar sein,austeilen,eintippen,präsentieren,eintippen,eingeben,gab ein,nhập dữ liệu,Tôi đã nhập sai mật khẩu.,,
681,Đồng nghĩa,,"Ich habe seinen Vorschlag gern ""angenommen"". — Từ nào đồng nghĩa với từ trong ngoặc kép?",entwickeln,"akzeptieren, vermuten",heimsuchen,präsentieren,"akzeptieren, vermuten",annehmen,nahm an,chấp nhận; cho rằng,Tôi đã vui vẻ chấp nhận đề nghị của anh ấy.,,
682,Đồng nghĩa,,"Sie hat ihre Teilnahme schon ""zugesagt"". — Từ nào đồng nghĩa với từ trong ngoặc kép?",umwandeln,verlassen,zustimmen,übersiedeln,zustimmen,zusagen,sagte zu,"đồng ý, nhận lời",Cô ấy đã đồng ý tham gia rồi.,,
683,Đồng nghĩa,,"Man hat ihm Unehrlichkeit ""vorgeworfen"". — Từ nào đồng nghĩa với từ trong ngoặc kép?",darstellen,sich ausruhen,beschuldigen,realisieren,beschuldigen,vorwerfen,warf vor,buộc tội; trách móc,Người ta đã buộc tội anh ấy không trung thực.,,
684,Đồng nghĩa,,"Der Forscher hat ein neues Medikament ""entdeckt"". — Từ nào đồng nghĩa với từ trong ngoặc kép?",signieren,anstellen,herausfinden,wiedergeben,herausfinden,entdecken,entdeckte,"khám phá, phát hiện",Nhà nghiên cứu đã phát hiện ra một loại thuốc mới.,,
685,Đồng nghĩa,,"Der Drucker wurde an den Computer ""angeschlossen"". — Từ nào đồng nghĩa với từ trong ngoặc kép?",verbinden,schrumpfen,durchführen,begleiten,verbinden,anschließen,schloss an,kết nối,Máy in đã được kết nối với máy tính.,,
686,Đồng nghĩa,,"Sie hat Wasser in die Flasche ""eingefüllt"". — Từ nào đồng nghĩa với từ trong ngoặc kép?",hineingießen,präsentieren,ausstatten,ablehnen,hineingießen,einfüllen,füllte ein,"đổ vào, rót vào",Cô ấy đã rót nước vào chai.,,
687,Đồng nghĩa,,"Der Vertrag wurde nur leicht ""abgeändert"". — Từ nào đồng nghĩa với từ trong ngoặc kép?",modifizieren,erkennen,auswählen,erscheinen,modifizieren,abändern,änderte ab,"sửa đổi (nhỏ, chi tiết)",Hợp đồng chỉ được sửa đổi một chút.,,
688,Đồng nghĩa,,"Diese Regel ist inzwischen ""weggefallen"". — Từ nào đồng nghĩa với từ trong ngoặc kép?",entfallen,öffnen,zerschneiden,kündigen,entfallen,wegfallen,fiel weg,bị bỏ đi; mất đi,Quy định này giờ đã không còn áp dụng nữa.,,
689,Đồng nghĩa,,"Trotz der Probleme haben wir ""weitergemacht"". — Từ nào đồng nghĩa với từ trong ngoặc kép?",enthalten,fortsetzen,exhalieren,interviewen,fortsetzen,weitermachen,machte weiter,tiếp tục làm,"Bất chấp khó khăn, chúng tôi vẫn tiếp tục.",,
690,Đồng nghĩa,,"Wir haben alle am Wettbewerb ""teilgenommen"". — Từ nào đồng nghĩa với từ trong ngoặc kép?",losfahren,begleiten,mitmachen,verschieben,mitmachen,teilnehmen,nahm teil,tham gia,Tất cả chúng tôi đã tham gia cuộc thi.,,
691,Đồng nghĩa,,"Die Mutter hat schließlich ""nachgegeben"" und ihm erlaubt, auszugehen. — Từ nào đồng nghĩa với từ trong ngoặc kép?",einlenken,sich vorstellen lassen,retournieren,sich benehmen,einlenken,nachgeben,gab nach,nhượng bộ,Cuối cùng người mẹ đã nhượng bộ và cho phép cậu bé ra ngoài.,,
692,Đồng nghĩa,,"Wir haben den Termin schon vorher ""abgesprochen"". — Từ nào đồng nghĩa với từ trong ngoặc kép?",vereinbaren,eintippen,enthalten,einschalten,vereinbaren,absprechen,sprach ab,thỏa thuận trước,Chúng tôi đã thỏa thuận lịch hẹn từ trước.,,
693,Đồng nghĩa,,"Der Termin wurde für Montag ""festgelegt"". — Từ nào đồng nghĩa với từ trong ngoặc kép?",enthalten,bestimmen,einlenken,hochsteigen,bestimmen,festlegen,legte fest,quy định; ấn định,Lịch hẹn đã được ấn định vào thứ Hai.,,
694,Đồng nghĩa,,"Die Band hat ein neues Lied ""abgespielt"". — Từ nào đồng nghĩa với từ trong ngoặc kép?",entkommen,kopieren,wiedergeben,beginnen,wiedergeben,abspielen,spielte ab,"phát (nhạc, video)",Ban nhạc đã phát một bài hát mới.,,
695,Đồng nghĩa,,"Das Dachgeschoss wurde zu einer Wohnung ""ausgebaut"". — Từ nào đồng nghĩa với từ trong ngoặc kép?",erweitern,entkommen,entfernen,erwähnen,erweitern,ausbauen,baute aus,mở rộng; tháo ra,Tầng áp mái đã được cải tạo thành căn hộ.,,
696,Đồng nghĩa,,"Sie hat ihre Brille ""aufgesetzt"" und angefangen zu lesen. — Từ nào đồng nghĩa với từ trong ngoặc kép?",enthalten,anziehen (mũ),sich widmen,zurückkehren,anziehen (mũ),aufsetzen,setzte auf,đội (mũ); soạn văn bản,Cô ấy đã đeo kính lên và bắt đầu đọc.,,
697,Đồng nghĩa,,"Wir haben uns letztes Jahr ""kennengelernt"". — Từ nào đồng nghĩa với từ trong ngoặc kép?",zusagen,sich vorstellen lassen,erscheinen,erklären,sich vorstellen lassen,kennenlernen,lernte kennen,làm quen,Chúng tôi đã làm quen với nhau vào năm ngoái.,,
698,Đồng nghĩa,,"Die Mutter hat das Baby warm ""angekleidet"". — Từ nào đồng nghĩa với từ trong ngoặc kép?",zusperren,betreffen,warten auf,sich anziehen,sich anziehen,ankleiden,kleidete an,mặc quần áo (trang trọng),Người mẹ đã mặc ấm cho em bé.,,
699,Đồng nghĩa,,"Der Journalist hat über den Unfall ""berichtet"". — Từ nào đồng nghĩa với từ trong ngoặc kép?",leiten,erzählen,mitkommen,auffordern,erzählen,berichten,berichtete,"báo cáo, tường thuật",Nhà báo đã tường thuật về vụ tai nạn.,,
700,Đồng nghĩa,,"Alle Kosten sind von der Versicherung ""abgedeckt"". — Từ nào đồng nghĩa với từ trong ngoặc kép?",äußern,entsorgen,erzählen,absichern,absichern,abdecken,deckte ab,che phủ; bao gồm,Mọi chi phí đều được bảo hiểm chi trả.,,
701,Đồng nghĩa,,"Zum Zeitpunkt des Unfalls hat er sich im Ausland ""befunden"". — Từ nào đồng nghĩa với từ trong ngoặc kép?",sich erkundigen,sich aufhalten,kopieren,neu formulieren,sich aufhalten,befinden,befand,"ở, nằm tại (vị trí)","Vào thời điểm xảy ra tai nạn, anh ấy đang ở nước ngoài.",,
702,Đồng nghĩa,,"Das Telefon wurde vor über hundert Jahren ""erfunden"". — Từ nào đồng nghĩa với từ trong ngoặc kép?",ausstatten,neu formulieren,auffordern,entwickeln,entwickeln,erfinden,erfand,"phát minh, bịa ra",Điện thoại đã được phát minh cách đây hơn một trăm năm.,,
703,Đồng nghĩa,,"Das Fleisch wurde in kleine Stücke ""zerteilt"". — Từ nào đồng nghĩa với từ trong ngoặc kép?",investieren,zerschneiden,übermitteln,verbinden,zerschneiden,zerteilen,zerteilte,"chia nhỏ, cắt vụn",Thịt đã được cắt thành từng miếng nhỏ.,,
704,Đồng nghĩa,,"Die Firma hat drei neue Mitarbeiter ""eingestellt"". — Từ nào đồng nghĩa với từ trong ngoặc kép?",anstellen,wenden,austeilen,einziehen,anstellen,einstellen,stellte ein,tuyển dụng; cài đặt,Công ty đã tuyển ba nhân viên mới.,,
705,Đồng nghĩa,,"Der Verdächtige hat sich schließlich ""bekannt"". — Từ nào đồng nghĩa với từ trong ngoặc kép?",gestehen,nachweisen,sich verhalten,zusammenstoßen,gestehen,bekennen,bekannte,thú nhận,Cuối cùng nghi phạm đã thú nhận.,,
706,Đồng nghĩa,,"Die Kinder haben ein Zelt im Garten ""aufgestellt"". — Từ nào đồng nghĩa với từ trong ngoặc kép?",bezahlen,zeigen,weggehen von,errichten,errichten,aufstellen,stellte auf,dựng lên; lập kế hoạch,Bọn trẻ đã dựng một cái lều trong vườn.,,
707,Đồng nghĩa,,"Jeder Mitarbeiter hat zum Erfolg des Projekts ""beigetragen"". — Từ nào đồng nghĩa với từ trong ngoặc kép?",mitwirken,präsentieren,öffnen,schlucken,mitwirken,beitragen,trug bei,đóng góp,Mỗi nhân viên đều đã đóng góp vào thành công của dự án.,,
708,Đồng nghĩa,,"Ich habe diese Frage in der Prüfung ""ausgelassen"". — Từ nào đồng nghĩa với từ trong ngoặc kép?",abrücken,greifen,demontieren,weglassen,weglassen,auslassen,ließ aus,bỏ qua,Tôi đã bỏ qua câu hỏi đó trong bài thi.,,
